Bureau of Meteorology station number,Year,Month,Day,Rainfall amount (millimetres),Period over which rainfall was measured (days),index
66058,2016,1,17,1.0,1.0,381
66058,2016,1,18,0.0,1.0,382
66058,2016,1,19,0.0,1.0,383
66058,2016,1,20,0.0,1.0,384
66058,2016,1,21,0.0,1.0,385
66058,2016,1,22,19.0,1.0,386
66058,2016,1,23,22.0,1.0,387
66058,2016,1,24,0.0,1.0,388
66058,2016,1,25,0.0,1.0,389
66058,2016,1,26,7.0,1.0,390
66058,2016,1,27,1.0,1.0,391
66058,2016,1,28,1.0,1.0,392
66058,2016,1,29,0.0,1.0,393
66058,2016,1,30,12.0,1.0,394
66058,2016,1,31,26.0,1.0,395
66058,2016,2,1,0.0,1.0,396
66058,2016,2,2,3.0,1.0,397
66058,2016,2,3,0.0,1.0,398
66058,2016,2,4,5.0,1.0,399
66058,2016,2,5,1.0,1.0,400
66058,2016,2,6,0.0,1.0,401
66058,2016,2,7,0.0,1.0,402
66058,2016,2,8,0.0,1.0,403
66058,2016,2,9,0.0,1.0,404
66058,2016,2,10,0.0,1.0,405
66058,2016,2,11,0.0,1.0,406
66058,2016,2,12,0.0,1.0,407
66058,2016,2,13,0.0,1.0,408
66058,2016,2,14,0.0,1.0,409
66058,2016,2,15,0.0,1.0,410
66058,2016,2,16,0.0,1.0,411
66058,2016,2,17,0.0,1.0,412
66058,2016,2,18,0.0,1.0,413
66058,2016,2,19,0.0,1.0,414
66058,2016,2,20,0.0,1.0,415
66058,2016,2,21,41.0,1.0,416
66058,2016,2,22,0.0,1.0,417
66058,2016,2,23,0.0,1.0,418
66058,2016,2,24,0.0,1.0,419
66058,2016,2,25,0.0,1.0,420
66058,2016,2,26,0.0,1.0,421
66058,2016,2,27,0.0,1.0,422
66058,2016,2,28,0.0,1.0,423
66058,2016,2,29,0.0,1.0,424
66058,2016,3,1,0.0,1.0,425
66058,2016,3,2,0.0,1.0,426
66058,2016,3,3,0.0,1.0,427
66058,2016,3,4,0.0,1.0,428
66058,2016,3,5,0.0,1.0,429
66058,2016,3,6,0.0,1.0,430
66058,2016,3,7,0.0,1.0,431
66058,2016,3,8,0.0,1.0,432
66058,2016,3,9,0.0,1.0,433
66058,2016,3,10,0.0,1.0,434
66058,2016,3,11,0.0,1.0,435
66058,2016,3,12,0.0,1.0,436
66058,2016,3,13,0.0,1.0,437
66058,2016,3,14,0.0,1.0,438
66058,2016,3,15,11.0,1.0,439
66058,2016,3,16,3.0,1.0,440
66058,2016,3,17,20.0,1.0,441
66058,2016,3,18,0.0,1.0,442
66058,2016,3,19,1.0,1.0,443
66058,2016,3,20,1.0,1.0,444
66058,2016,3,21,22.0,1.0,445
66058,2016,3,22,3.0,1.0,446
66058,2016,3,23,0.0,1.0,447
66058,2016,3,24,0.0,1.0,448
66058,2016,3,25,0.0,1.0,449
66058,2016,3,26,0.0,1.0,450
66058,2016,3,27,0.0,1.0,451
66058,2016,3,28,0.0,1.0,452
66058,2016,3,29,0.0,1.0,453
66058,2016,3,31,0.0,1.0,455
66058,2016,4,1,0.0,1.0,456
66058,2016,4,2,0.0,1.0,457
66058,2016,4,3,0.0,1.0,458
66058,2016,4,4,30.0,1.0,459
66058,2016,4,5,0.0,1.0,460
66058,2016,4,6,0.0,1.0,461
66058,2016,4,7,0.0,1.0,462
66058,2016,4,8,0.0,1.0,463
66058,2016,4,9,0.0,1.0,464
66058,2016,4,10,0.0,1.0,465
66058,2016,4,11,0.0,1.0,466
66058,2016,4,12,4.0,1.0,467
66058,2016,4,13,0.0,1.0,468
66058,2016,4,14,0.0,1.0,469
66058,2016,4,15,0.0,1.0,470
66058,2016,4,16,0.0,1.0,471
66058,2016,4,17,0.0,1.0,472
66058,2016,4,18,0.0,1.0,473
66058,2016,4,19,4.0,1.0,474
66058,2016,4,20,0.0,1.0,475
66058,2016,4,21,0.0,1.0,476
66058,2016,4,22,0.0,1.0,477
66058,2016,4,23,0.0,1.0,478
66058,2016,4,24,0.0,1.0,479
66058,2016,4,25,0.0,1.0,480
66058,2016,4,26,0.0,1.0,481
66058,2016,4,27,0.0,1.0,482
66058,2016,4,28,0.0,1.0,483
66058,2016,4,29,0.0,1.0,484
66058,2016,4,30,0.0,1.0,485
66058,2016,5,1,0.0,1.0,486
66058,2016,5,2,0.0,1.0,487
66058,2016,5,3,0.0,1.0,488
66058,2016,5,4,0.0,1.0,489
66058,2016,5,5,0.0,1.0,490
66058,2016,5,6,0.0,1.0,491
66058,2016,5,7,0.0,1.0,492
66058,2016,5,8,0.0,1.0,493
66058,2016,5,9,0.0,1.0,494
66058,2016,5,10,0.0,1.0,495
66058,2016,5,11,0.0,1.0,496
66058,2016,5,12,0.0,1.0,497
66058,2016,5,13,0.0,1.0,498
66058,2016,5,14,0.0,1.0,499
66058,2016,5,15,0.0,1.0,500
66058,2016,5,16,0.0,1.0,501
66058,2016,5,17,0.0,1.0,502
66058,2016,5,18,0.0,1.0,503
66058,2016,5,19,0.0,1.0,504
66058,2016,5,20,0.0,1.0,505
66058,2016,5,21,0.0,1.0,506
66058,2016,5,22,0.0,1.0,507
66058,2016,5,23,0.0,1.0,508
66058,2016,5,24,0.0,1.0,509
66058,2016,5,25,0.0,1.0,510
66058,2016,5,26,0.0,1.0,511
66058,2016,5,27,0.0,1.0,512
66058,2016,5,28,0.0,1.0,513
66058,2016,5,29,4.0,1.0,514
66058,2016,5,30,0.0,1.0,515
66058,2016,5,31,2.0,1.0,516
66058,2016,6,1,0.0,1.0,517
66058,2016,6,2,0.0,1.0,518
66058,2016,6,3,0.0,1.0,519
66058,2016,6,4,10.0,1.0,520
66058,2016,6,6,10.0,1.0,522
66058,2016,6,7,0.0,1.0,523
66058,2016,6,8,2.0,1.0,524
66058,2016,6,9,0.0,1.0,525
66058,2016,6,10,0.0,1.0,526
66058,2016,6,11,0.0,1.0,527
66058,2016,6,12,0.0,1.0,528
66058,2016,6,13,0.0,1.0,529
66058,2016,6,14,0.0,1.0,530
66058,2016,6,15,0.0,1.0,531
66058,2016,6,16,0.0,1.0,532
66058,2016,6,17,0.0,1.0,533
66058,2016,6,18,2.0,1.0,534
66058,2016,6,19,0.0,1.0,535
66058,2016,6,20,31.0,1.0,536
66058,2016,6,21,0.0,1.0,537
66058,2016,6,22,0.0,1.0,538
66058,2016,6,23,0.0,1.0,539
66058,2016,6,24,0.0,1.0,540
66058,2016,6,25,0.0,1.0,541
66058,2016,6,26,0.0,1.0,542
66058,2016,6,27,0.0,1.0,543
66058,2016,6,28,1.0,1.0,544
66058,2016,6,29,0.0,1.0,545
66058,2016,6,30,0.0,1.0,546
66058,2016,7,1,0.0,1.0,547
66058,2016,7,2,0.0,1.0,548
66058,2016,7,3,0.0,1.0,549
66058,2016,7,4,0.0,1.0,550
66058,2016,7,5,3.0,1.0,551
66058,2016,7,6,0.0,1.0,552
66058,2016,7,7,10.0,1.0,553
66058,2016,7,8,1.0,1.0,554
66058,2016,7,9,0.0,1.0,555
66058,2016,7,10,0.0,1.0,556
66058,2016,7,11,0.0,1.0,557
66058,2016,7,12,0.0,1.0,558
66058,2016,7,13,0.0,1.0,559
66058,2016,7,14,0.0,1.0,560
66058,2016,7,15,0.0,1.0,561
66058,2016,7,16,0.0,1.0,562
66058,2016,7,17,0.0,1.0,563
66058,2016,7,18,0.0,1.0,564
66058,2016,7,19,0.0,1.0,565
66058,2016,7,20,2.0,1.0,566
66058,2016,7,21,0.0,1.0,567
66058,2016,7,22,0.0,1.0,568
66058,2016,7,23,0.0,1.0,569
66058,2016,7,24,0.0,1.0,570
66058,2016,7,25,0.0,1.0,571
66058,2016,7,26,0.0,1.0,572
66058,2016,7,27,0.0,1.0,573
66058,2016,7,28,0.0,1.0,574
66058,2016,7,29,0.0,1.0,575
66058,2016,7,30,0.0,1.0,576
66058,2016,7,31,0.0,1.0,577
66058,2016,8,1,0.0,1.0,578
66058,2016,8,2,0.0,1.0,579
66058,2016,8,3,4.0,1.0,580
66058,2016,8,4,23.0,1.0,581
66058,2016,8,5,16.0,1.0,582
66058,2016,8,6,1.0,1.0,583
66058,2016,8,7,0.0,1.0,584
66058,2016,8,8,0.0,1.0,585
66058,2016,8,9,0.0,1.0,586
66058,2016,8,10,0.0,1.0,587
66058,2016,8,11,0.0,1.0,588
66058,2016,8,12,0.0,1.0,589
66058,2016,8,13,0.0,1.0,590
66058,2016,8,14,0.0,1.0,591
66058,2016,8,15,0.0,1.0,592
66058,2016,8,16,0.0,1.0,593
66058,2016,8,17,0.0,1.0,594
