Bureau of Meteorology station number,Year,Month,Day,Rainfall amount (millimetres),Period over which rainfall was measured (days),Quality_Y
66011,1953,2,25,1.5,1.0,True
66011,1953,2,26,0.0,,True
66011,1953,2,27,0.0,,True
66011,1953,2,28,10.4,1.0,True
66011,1953,3,1,0.0,,True
66011,1953,3,2,0.0,,True
66011,1953,3,3,0.0,,True
66011,1953,3,4,2.5,1.0,True
66011,1953,3,5,0.8,1.0,True
66011,1953,3,6,0.0,,True
66011,1953,3,7,0.0,,True
66011,1953,3,8,0.0,,True
66011,1953,3,9,0.0,,True
66011,1953,3,10,0.0,,True
66011,1953,3,11,0.0,,True
66011,1953,3,12,4.6,1.0,True
66011,1953,3,13,1.3,1.0,True
66011,1953,3,14,3.8,1.0,True
66011,1953,3,15,0.0,,True
66011,1953,3,16,0.0,,True
66011,1953,3,17,0.0,,True
66011,1953,3,18,0.0,,True
66011,1953,3,19,7.6,1.0,True
66011,1953,3,20,0.0,,True
66011,1953,3,21,0.0,,True
66011,1953,3,22,0.0,,True
66011,1953,3,23,2.3,1.0,True
66011,1953,3,24,50.8,1.0,True
66011,1953,3,25,23.9,1.0,True
66011,1953,3,26,0.0,,True
66011,1953,3,27,9.9,1.0,True
66011,1953,3,28,0.0,,True
66011,1953,3,29,0.0,,True
66011,1953,3,30,0.0,,True
66011,1953,3,31,0.0,,True
66011,1953,4,1,0.5,1.0,True
66011,1953,4,2,0.0,,True
66011,1953,4,3,0.0,,True
66011,1953,4,4,0.0,,True
66011,1953,4,5,0.0,,True
66011,1953,4,6,0.0,,True
66011,1953,4,7,0.0,,True
66011,1953,4,8,0.0,,True
66011,1953,4,9,0.0,,True
66011,1953,4,10,0.0,,True
66011,1953,4,11,0.0,,True
66011,1953,4,12,0.0,,True
66011,1953,4,13,0.0,,True
66011,1953,4,15,9.4,2.0,True
66011,1953,4,16,0.0,,True
66011,1953,4,17,0.0,,True
66011,1953,4,18,0.0,,True
66011,1953,4,19,0.0,,True
66011,1953,4,20,0.0,,True
66011,1953,4,21,0.0,,True
66011,1953,4,22,0.0,,True
66011,1953,4,23,0.0,,True
66011,1953,4,24,0.0,,True
66011,1953,4,25,0.0,,True
66011,1953,4,26,0.0,,True
66011,1953,4,27,0.0,,True
66011,1953,4,28,0.0,,True
66011,1953,4,29,0.5,1.0,True
66011,1953,4,30,1.3,1.0,True
66011,1953,5,1,5.6,1.0,True
66011,1953,5,2,166.4,1.0,True
66011,1953,5,3,47.8,1.0,True
66011,1953,5,4,17.3,1.0,True
66011,1953,5,5,8.1,1.0,True
66011,1953,5,6,0.0,,True
66011,1953,5,7,46.7,1.0,True
66011,1953,5,8,134.6,1.0,True
66011,1953,5,9,19.1,1.0,True
66011,1953,5,10,0.0,,True
66011,1953,5,11,0.0,,True
66011,1953,5,12,0.0,,True
66011,1953,5,13,0.0,,True
66011,1953,5,14,0.0,,True
66011,1953,5,15,0.0,,True
66011,1953,5,16,0.0,,True
66011,1953,5,17,0.0,,True
66011,1953,5,18,0.0,,True
66011,1953,5,19,3.0,1.0,True
66011,1953,5,20,0.0,,True
66011,1953,5,21,0.0,,True
66011,1953,5,22,0.0,,True
66011,1953,5,23,0.0,,True
66011,1953,5,24,0.0,,True
66011,1953,5,25,0.0,,True
66011,1953,5,26,6.6,1.0,True
66011,1953,5,27,0.0,,True
66011,1953,5,28,0.0,,True
66011,1953,5,29,0.0,,True
66011,1953,5,30,0.0,,True
66011,1953,5,31,0.0,,True
66011,1953,6,1,0.0,,True
66011,1953,6,2,0.0,,True
66011,1953,6,3,0.0,,True
66011,1953,6,4,0.0,,True
66011,1953,6,5,0.0,,True
66011,1953,6,6,0.0,,True
66011,1953,6,7,0.0,,True
66011,1953,6,8,9.4,1.0,True
66011,1953,6,9,0.0,,True
66011,1953,6,10,0.0,,True
66011,1953,6,11,0.0,,True
66011,1953,6,12,0.0,,True
66011,1953,6,13,0.0,,True
66011,1953,6,14,0.0,,True
66011,1953,6,15,0.0,,True
66011,1953,6,16,0.0,,True
66011,1953,6,17,0.0,,True
66011,1953,6,18,0.0,,True
66011,1953,6,19,0.0,,True
66011,1953,6,20,0.0,,True
66011,1953,6,21,0.0,,True
66011,1953,6,22,2.0,1.0,True
66011,1953,6,23,0.0,,True
66011,1953,6,24,0.0,,True
66011,1953,6,25,0.0,,True
66011,1953,6,26,3.3,1.0,True
66011,1953,6,27,0.0,,True
66011,1953,6,28,2.5,1.0,True
66011,1953,6,29,0.0,,True
66011,1953,6,30,0.0,,True
66011,1953,7,1,0.0,,True
66011,1953,7,2,0.0,,True
66011,1953,7,3,0.0,,True
66011,1953,7,4,2.3,1.0,True
66011,1953,7,5,0.3,1.0,True
66011,1953,7,6,0.0,,True
66011,1953,7,7,0.0,,True
66011,1953,7,8,0.0,,True
66011,1953,7,9,0.0,,True
66011,1953,7,10,49.5,1.0,True
66011,1953,7,11,3.0,1.0,True
66011,1953,7,12,0.0,,True
66011,1953,7,13,0.0,,True
66011,1953,7,14,0.0,,True
66011,1953,7,15,0.0,,True
66011,1953,7,16,0.0,,True
66011,1953,7,17,0.0,,True
66011,1953,7,18,0.0,,True
66011,1953,7,19,0.0,,True
66011,1953,7,20,0.0,,True
66011,1953,7,21,0.0,,True
66011,1953,7,22,0.0,,True
66011,1953,7,23,0.0,,True
66011,1953,7,24,0.0,,True
66011,1953,7,25,0.0,,True
66011,1953,7,26,0.0,,True
66011,1953,7,27,0.0,,True
66011,1953,7,28,0.0,,True
66011,1953,7,29,0.0,,True
66011,1953,7,30,0.0,,True
66011,1953,7,31,0.0,,True
66011,1953,8,1,0.0,,True
66011,1953,8,2,0.0,,True
66011,1953,8,3,0.0,,True
66011,1953,8,4,0.0,,True
66011,1953,8,5,6.4,1.0,True
66011,1953,8,6,0.0,,True
66011,1953,8,7,0.0,,True
66011,1953,8,8,0.0,,True
66011,1953,8,9,0.0,,True
66011,1953,8,10,0.0,,True
66011,1953,8,11,0.0,,True
66011,1953,8,12,13.7,1.0,True
66011,1953,8,13,0.0,,True
66011,1953,8,14,0.0,,True
