Bureau of Meteorology station number,Year,Month,Day,Minimum temperature (Degree C),Days of accumulation of minimum temperature,index,Quality_Y
66124,2015,11,27,13.7,1.0,330,False
66124,2015,11,28,17.0,1.0,331,False
66124,2015,11,29,18.8,1.0,332,False
66124,2015,11,30,16.0,1.0,333,False
66124,2015,12,1,16.5,1.0,334,False
66124,2015,12,2,18.8,1.0,335,False
66124,2015,12,3,15.0,1.0,336,False
66124,2015,12,4,11.0,1.0,337,False
66124,2015,12,5,11.3,1.0,338,False
66124,2015,12,6,15.0,1.0,339,False
66124,2015,12,7,16.0,1.0,340,False
66124,2015,12,8,18.2,1.0,341,False
66124,2015,12,9,21.3,1.0,342,False
66124,2015,12,10,20.6,1.0,343,False
66124,2015,12,11,19.2,1.0,344,False
66124,2015,12,12,16.5,1.0,345,False
66124,2015,12,13,17.3,1.0,346,False
66124,2015,12,14,15.2,1.0,347,False
66124,2015,12,15,16.7,1.0,348,False
66124,2015,12,16,20.0,1.0,349,False
66124,2015,12,17,14.0,1.0,350,False
66124,2015,12,18,15.7,1.0,351,False
66124,2015,12,19,17.5,1.0,352,False
66124,2015,12,20,16.2,1.0,353,False
66124,2015,12,21,24.3,1.0,354,False
66124,2015,12,22,15.7,1.0,355,False
66124,2015,12,23,16.2,1.0,356,False
66124,2015,12,24,13.5,1.0,357,False
66124,2015,12,25,13.6,1.0,358,False
66124,2015,12,26,16.7,1.0,359,False
66124,2015,12,27,16.0,1.0,360,False
66124,2015,12,28,14.7,1.0,361,False
66124,2015,12,29,13.3,1.0,362,False
66124,2015,12,30,12.0,1.0,363,False
66124,2015,12,31,13.0,1.0,364,False
66124,2016,1,1,15.2,1.0,365,False
66124,2016,1,2,15.0,1.0,366,False
66124,2016,1,3,18.4,1.0,367,False
66124,2016,1,4,17.0,1.0,368,False
66124,2016,1,5,16.6,1.0,369,False
66124,2016,1,6,16.8,1.0,370,False
66124,2016,1,7,15.5,1.0,371,False
66124,2016,1,8,13.5,1.0,372,False
66124,2016,1,9,16.6,1.0,373,False
66124,2016,1,10,15.8,1.0,374,False
66124,2016,1,11,18.0,1.0,375,False
66124,2016,1,12,21.5,1.0,376,False
66124,2016,1,13,20.7,1.0,377,False
66124,2016,1,14,21.3,1.0,378,False
66124,2016,1,15,14.0,1.0,379,False
66124,2016,1,16,13.3,1.0,380,False
66124,2016,1,17,13.8,1.0,381,False
66124,2016,1,18,14.0,1.0,382,False
66124,2016,1,19,15.6,1.0,383,False
66124,2016,1,20,20.0,1.0,384,False
66124,2016,1,21,22.6,1.0,385,False
66124,2016,1,22,22.5,1.0,386,False
66124,2016,1,23,21.3,1.0,387,False
66124,2016,1,24,19.7,1.0,388,False
66124,2016,1,25,20.6,1.0,389,False
66124,2016,1,26,19.2,1.0,390,False
66124,2016,1,27,19.0,1.0,391,False
66124,2016,1,28,20.7,1.0,392,False
66124,2016,1,29,20.2,1.0,393,False
66124,2016,1,30,18.0,1.0,394,False
66124,2016,1,31,17.7,1.0,395,False
66124,2016,2,1,18.8,1.0,396,False
66124,2016,2,2,14.4,1.0,397,False
66124,2016,2,3,16.8,1.0,398,False
66124,2016,2,4,18.5,1.0,399,False
66124,2016,2,5,18.7,1.0,400,False
66124,2016,2,6,16.5,1.0,401,False
66124,2016,2,7,16.7,1.0,402,False
66124,2016,2,8,16.5,1.0,403,False
66124,2016,2,9,18.0,1.0,404,False
66124,2016,2,10,17.7,1.0,405,False
66124,2016,2,11,17.3,1.0,406,False
66124,2016,2,12,18.8,1.0,407,False
66124,2016,2,13,18.7,1.0,408,False
66124,2016,2,14,18.6,1.0,409,False
66124,2016,2,15,22.5,1.0,410,False
66124,2016,2,16,17.4,1.0,411,False
66124,2016,2,17,18.2,1.0,412,False
66124,2016,2,18,15.8,1.0,413,False
66124,2016,2,19,17.5,1.0,414,False
66124,2016,2,20,22.7,1.0,415,False
66124,2016,2,21,20.5,1.0,416,False
66124,2016,2,22,19.2,1.0,417,False
66124,2016,2,23,18.0,1.0,418,False
66124,2016,2,24,17.8,1.0,419,False
66124,2016,2,25,19.9,1.0,420,False
66124,2016,2,26,22.7,1.0,421,False
66124,2016,2,27,19.2,1.0,422,False
66124,2016,2,28,17.2,1.0,423,False
66124,2016,2,29,18.2,1.0,424,False
66124,2016,3,1,18.0,1.0,425,False
66124,2016,3,2,17.5,1.0,426,False
66124,2016,3,3,19.7,1.0,427,False
66124,2016,3,4,18.6,1.0,428,False
66124,2016,3,5,16.8,1.0,429,False
66124,2016,3,6,16.3,1.0,430,False
66124,2016,3,7,18.2,1.0,431,False
66124,2016,3,8,18.0,1.0,432,False
66124,2016,3,9,19.6,1.0,433,False
66124,2016,3,10,20.7,1.0,434,False
66124,2016,3,11,22.2,1.0,435,False
66124,2016,3,12,19.0,1.0,436,False
66124,2016,3,13,18.8,1.0,437,False
66124,2016,3,14,20.0,1.0,438,False
66124,2016,3,15,20.0,1.0,439,False
66124,2016,3,16,18.2,1.0,440,False
66124,2016,3,17,17.8,1.0,441,False
66124,2016,3,18,17.3,1.0,442,False
66124,2016,3,19,12.3,1.0,443,False
66124,2016,3,20,16.1,1.0,444,False
66124,2016,3,21,14.8,1.0,445,False
66124,2016,3,22,14.0,1.0,446,False
66124,2016,3,23,12.0,1.0,447,False
66124,2016,3,24,12.0,1.0,448,False
66124,2016,3,25,15.7,1.0,449,False
66124,2016,3,26,14.6,1.0,450,False
66124,2016,3,27,15.8,1.0,451,False
66124,2016,3,28,17.2,1.0,452,False
66124,2016,3,29,18.3,1.0,453,False
66124,2016,3,30,17.7,1.0,454,False
66124,2016,3,31,12.3,1.0,455,False
66124,2016,4,1,13.8,1.0,456,True
66124,2016,4,2,14.5,1.0,457,True
66124,2016,4,3,17.0,1.0,458,True
66124,2016,4,4,18.5,1.0,459,True
66124,2016,4,5,15.2,1.0,460,True
66124,2016,4,6,16.0,1.0,461,True
66124,2016,4,7,19.0,1.0,462,True
66124,2016,4,8,17.0,1.0,463,True
66124,2016,4,9,13.5,1.0,464,True
66124,2016,4,10,13.0,1.0,465,True
66124,2016,4,11,12.0,1.0,466,True
66124,2016,4,12,16.0,1.0,467,True
66124,2016,4,13,12.5,1.0,468,True
66124,2016,4,14,13.5,1.0,469,True
66124,2016,4,15,13.8,1.0,470,True
66124,2016,4,16,13.0,1.0,471,True
66124,2016,4,17,18.0,1.0,472,True
66124,2016,4,18,12.7,1.0,473,True
66124,2016,4,19,15.0,1.0,474,True
66124,2016,4,20,14.0,1.0,475,True
66124,2016,4,21,14.2,1.0,476,True
66124,2016,4,22,14.5,1.0,477,True
66124,2016,4,23,14.3,1.0,478,True
66124,2016,4,24,14.0,1.0,479,True
66124,2016,4,25,10.8,1.0,480,True
66124,2016,4,26,10.7,1.0,481,True
66124,2016,4,27,12.0,1.0,482,True
66124,2016,4,28,12.8,1.0,483,True
66124,2016,4,29,12.5,1.0,484,True
66124,2016,4,30,16.0,1.0,485,True
66124,2016,5,1,16.8,1.0,486,False
66124,2016,5,2,9.0,1.0,487,False
66124,2016,5,3,8.5,1.0,488,False
66124,2016,5,4,15.9,1.0,489,False
66124,2016,5,5,9.0,1.0,490,False
66124,2016,5,6,10.1,1.0,491,False
66124,2016,5,7,9.2,1.0,492,False
66124,2016,5,8,14.5,1.0,493,False
66124,2016,5,9,16.6,1.0,494,False
66124,2016,5,10,16.2,1.0,495,False
66124,2016,5,11,7.2,1.0,496,False
66124,2016,5,12,12.0,1.0,497,False
66124,2016,5,13,11.8,1.0,498,False
66124,2016,5,14,8.5,1.0,499,False
66124,2016,5,15,9.1,1.0,500,False
66124,2016,5,16,6.3,1.0,501,False
66124,2016,5,17,14.4,1.0,502,False
66124,2016,5,18,9.5,1.0,503,False
66124,2016,5,19,8.7,1.0,504,False
66124,2016,5,20,8.2,1.0,505,False
66124,2016,5,21,10.3,1.0,506,False
66124,2016,5,22,11.3,1.0,507,False
66124,2016,5,23,12.5,1.0,508,False
66124,2016,5,24,8.3,1.0,509,False
66124,2016,5,25,6.2,1.0,510,False
66124,2016,5,26,10.5,1.0,511,False
66124,2016,5,27,7.8,1.0,512,False
66124,2016,5,28,7.7,1.0,513,False
66124,2016,5,29,6.3,1.0,514,False
66124,2016,5,30,4.0,1.0,515,False
66124,2016,5,31,6.5,1.0,516,False
66124,2016,6,1,10.5,1.0,517,False
66124,2016,6,2,8.7,1.0,518,False
66124,2016,6,3,9.2,1.0,519,False
66124,2016,6,4,13.5,1.0,520,False
66124,2016,6,5,15.0,1.0,521,False
66124,2016,6,6,12.8,1.0,522,False
66124,2016,6,7,10.2,1.0,523,False
66124,2016,6,8,9.5,1.0,524,False
66124,2016,6,9,14.6,1.0,525,False
66124,2016,6,10,11.0,1.0,526,False
66124,2016,6,11,8.3,1.0,527,False
66124,2016,6,12,5.3,1.0,528,False
66124,2016,6,13,6.0,1.0,529,False
66124,2016,6,14,6.3,1.0,530,False
66124,2016,6,15,7.0,1.0,531,False
66124,2016,6,16,6.9,1.0,532,False
66124,2016,6,17,8.7,1.0,533,False
66124,2016,6,18,13.5,1.0,534,False
66124,2016,6,19,11.2,1.0,535,False
66124,2016,6,20,14.0,1.0,536,False
66124,2016,6,21,13.8,1.0,537,False
66124,2016,6,22,10.6,1.0,538,False
66124,2016,6,23,8.3,1.0,539,False
66124,2016,6,24,12.6,1.0,540,False
66124,2016,6,25,3.8,1.0,541,False
66124,2016,6,26,1.8,1.0,542,False
66124,2016,6,27,6.2,1.0,543,False
66124,2016,6,28,5.2,1.0,544,False
66124,2016,6,29,3.0,1.0,545,False
66124,2016,6,30,1.5,1.0,546,False
66124,2016,7,1,6.5,1.0,547,False
66124,2016,7,2,5.0,1.0,548,False
66124,2016,7,3,5.0,1.0,549,False
66124,2016,7,4,1.5,1.0,550,False
66124,2016,7,5,6.5,1.0,551,False
66124,2016,7,6,8.4,1.0,552,False
66124,2016,7,7,12.6,1.0,553,False
66124,2016,7,8,11.6,1.0,554,False
66124,2016,7,9,7.2,1.0,555,False
66124,2016,7,10,10.0,1.0,556,False
66124,2016,7,11,12.5,1.0,557,False
66124,2016,7,12,14.8,1.0,558,False
66124,2016,7,13,8.5,1.0,559,False
66124,2016,7,14,2.4,1.0,560,False
66124,2016,7,15,3.0,1.0,561,False
66124,2016,7,16,4.8,1.0,562,False
66124,2016,7,17,8.0,1.0,563,False
66124,2016,7,18,9.3,1.0,564,False
66124,2016,7,19,13.3,1.0,565,False
66124,2016,7,20,15.5,1.0,566,False
66124,2016,7,21,13.0,1.0,567,False
66124,2016,7,22,13.3,1.0,568,False
66124,2016,7,23,14.0,1.0,569,False
66124,2016,7,24,3.9,1.0,570,False
66124,2016,7,25,6.6,1.0,571,False
66124,2016,7,26,7.7,1.0,572,False
66124,2016,7,27,9.3,1.0,573,False
66124,2016,7,28,5.0,1.0,574,False
66124,2016,7,29,3.0,1.0,575,False
66124,2016,7,30,4.6,1.0,576,False
66124,2016,7,31,9.3,1.0,577,False
66124,2016,8,1,8.2,1.0,578,True
66124,2016,8,2,9.7,1.0,579,True
66124,2016,8,3,9.5,1.0,580,True
66124,2016,8,4,9.0,1.0,581,True
66124,2016,8,5,7.6,1.0,582,True
66124,2016,8,6,7.2,1.0,583,True
66124,2016,8,7,8.3,1.0,584,True
66124,2016,8,8,6.0,1.0,585,True
66124,2016,8,9,5.3,1.0,586,True
66124,2016,8,10,11.2,1.0,587,True
66124,2016,8,11,9.0,1.0,588,True
66124,2016,8,12,3.8,1.0,589,True
66124,2016,8,13,5.7,1.0,590,True
66124,2016,8,14,5.2,1.0,591,True
66124,2016,8,15,4.8,1.0,592,True
66124,2016,8,16,6.8,1.0,593,True
66124,2016,8,17,6.7,1.0,594,True
66124,2016,8,18,7.3,1.0,595,True
66124,2016,8,19,6.8,1.0,596,True
66124,2016,8,20,7.2,1.0,597,True
66124,2016,8,21,6.0,1.0,598,True
66124,2016,8,22,7.0,1.0,599,True
66124,2016,8,23,5.3,1.0,600,True
66124,2016,8,24,10.7,1.0,601,True
66124,2016,8,25,8.2,1.0,602,True
66124,2016,8,26,4.7,1.0,603,True
66124,2016,8,27,5.0,1.0,604,True
66124,2016,8,28,4.9,1.0,605,True
66124,2016,8,29,5.8,1.0,606,True
66124,2016,8,30,8.2,1.0,607,True
66124,2016,8,31,8.0,1.0,608,True
66124,2016,9,1,9.5,1.0,609,True
66124,2016,9,2,13.8,1.0,610,True
66124,2016,9,3,14.0,1.0,611,True
66124,2016,9,4,8.3,1.0,612,True
66124,2016,9,5,6.0,1.0,613,True
66124,2016,9,6,7.8,1.0,614,True
66124,2016,9,7,10.7,1.0,615,True
66124,2016,9,8,13.0,1.0,616,True
66124,2016,9,9,10.8,1.0,617,True
66124,2016,9,10,13.2,1.0,618,True
66124,2016,9,11,8.0,1.0,619,True
66124,2016,9,12,9.7,1.0,620,True
66124,2016,9,13,12.3,1.0,621,True
66124,2016,9,14,15.5,1.0,622,True
66124,2016,9,15,12.2,1.0,623,True
