Bureau of Meteorology station number,Year,Month,Day,Rainfall amount (millimetres),Period over which rainfall was measured (days),index
61381,2016,7,13,0.0,1.0,559
61381,2016,7,14,0.0,1.0,560
61381,2016,7,15,0.0,1.0,561
61381,2016,7,16,0.0,1.0,562
61381,2016,7,17,3.0,1.0,563
61381,2016,7,18,0.0,1.0,564
61381,2016,7,19,0.0,1.0,565
61381,2016,7,20,19.0,1.0,566
61381,2016,7,21,18.0,1.0,567
61381,2016,7,22,2.0,1.0,568
61381,2016,7,23,2.0,1.0,569
61381,2016,7,24,0.0,1.0,570
61381,2016,7,25,0.0,1.0,571
61381,2016,7,26,0.0,1.0,572
61381,2016,7,27,0.0,1.0,573
61381,2016,7,28,0.0,1.0,574
61381,2016,7,29,0.0,1.0,575
61381,2016,7,30,0.0,1.0,576
61381,2016,7,31,0.0,1.0,577
61381,2016,8,1,0.0,1.0,578
61381,2016,8,2,0.0,1.0,579
61381,2016,8,3,31.0,1.0,580
61381,2016,8,4,21.0,1.0,581
61381,2016,8,5,4.0,1.0,582
61381,2016,8,6,2.0,1.0,583
61381,2016,8,7,2.0,1.0,584
61381,2016,8,8,0.0,1.0,585
61381,2016,8,9,0.0,1.0,586
61381,2016,8,10,0.0,1.0,587
61381,2016,8,11,0.0,1.0,588
61381,2016,8,12,0.0,1.0,589
61381,2016,8,13,0.0,1.0,590
61381,2016,8,14,0.0,1.0,591
61381,2016,8,15,0.0,1.0,592
61381,2016,8,16,0.0,1.0,593
61381,2016,8,17,0.0,1.0,594
61381,2016,8,18,0.0,1.0,595
61381,2016,8,19,0.0,1.0,596
61381,2016,8,20,0.0,1.0,597
61381,2016,8,21,0.0,1.0,598
61381,2016,8,22,0.0,1.0,599
61381,2016,8,23,1.0,1.0,600
61381,2016,8,24,20.0,1.0,601
61381,2016,8,25,48.0,1.0,602
61381,2016,8,26,1.0,1.0,603
61381,2016,8,27,8.0,1.0,604
61381,2016,8,28,0.0,1.0,605
61381,2016,8,29,0.0,1.0,606
