Bureau of Meteorology station number,Year,Month,Day,Rainfall amount (millimetres),Period over which rainfall was measured (days),index,Quality_Y
66052,2016,7,14,0.0,,560,True
66052,2016,7,15,0.0,,561,True
66052,2016,7,16,0.0,,562,True
66052,2016,7,17,0.8,1.0,563,True
66052,2016,7,18,0.2,1.0,564,True
66052,2016,7,19,0.0,,565,True
66052,2016,7,20,13.6,1.0,566,True
66052,2016,7,21,24.8,1.0,567,True
66052,2016,7,22,0.2,1.0,568,True
66052,2016,7,23,6.8,1.0,569,True
66052,2016,7,24,0.0,,570,True
66052,2016,7,25,0.0,,571,True
66052,2016,7,26,0.0,,572,True
66052,2016,7,27,0.0,,573,True
66052,2016,7,28,0.0,,574,True
66052,2016,7,29,0.0,,575,True
66052,2016,7,30,0.0,,576,True
66052,2016,7,31,0.0,,577,True
66052,2016,8,1,0.0,,578,True
66052,2016,8,2,1.0,1.0,579,True
66052,2016,8,3,22.6,1.0,580,True
66052,2016,8,4,38.8,1.0,581,True
66052,2016,8,5,5.2,1.0,582,True
66052,2016,8,6,6.0,1.0,583,True
66052,2016,8,7,6.4,1.0,584,True
66052,2016,8,8,0.0,,585,True
66052,2016,8,9,0.0,,586,True
66052,2016,8,10,0.0,,587,True
66052,2016,8,11,0.0,,588,True
66052,2016,8,12,0.0,,589,True
66052,2016,8,13,0.0,,590,True
66052,2016,8,14,0.0,,591,True
66052,2016,8,15,0.0,,592,True
66052,2016,8,16,0.0,,593,True
66052,2016,8,17,0.0,,594,True
66052,2016,8,18,0.0,,595,True
66052,2016,8,19,0.0,,596,True
66052,2016,8,20,0.6,1.0,597,True
66052,2016,8,21,0.0,,598,True
66052,2016,8,22,0.0,,599,True
66052,2016,8,23,2.8,1.0,600,True
66052,2016,8,24,5.0,1.0,601,True
66052,2016,8,25,56.2,1.0,602,True
66052,2016,8,26,0.0,,603,True
66052,2016,8,27,3.6,1.0,604,True
66052,2016,8,28,0.0,,605,True
66052,2016,8,29,0.0,,606,True
66052,2016,8,30,0.0,,607,True
66052,2016,8,31,0.0,,608,True
66052,2016,9,1,0.0,,609,True
66052,2016,9,2,15.4,1.0,610,True
66052,2016,9,3,27.8,1.0,611,True
66052,2016,9,4,0.0,,612,True
66052,2016,9,5,0.0,,613,True
66052,2016,9,6,0.0,,614,True
66052,2016,9,7,0.0,,615,True
66052,2016,9,8,0.0,,616,True
66052,2016,9,9,0.0,,617,True
66052,2016,9,10,2.0,1.0,618,True
66052,2016,9,11,0.0,,619,True
66052,2016,9,12,0.0,,620,True
66052,2016,9,13,0.0,,621,True
66052,2016,9,14,7.0,1.0,622,True
66052,2016,9,15,0.0,,623,True
66052,2016,9,16,0.2,1.0,624,True
66052,2016,9,17,0.0,,625,True
66052,2016,9,18,0.0,,626,True
66052,2016,9,19,16.8,1.0,627,True
66052,2016,9,20,0.0,,628,True
66052,2016,9,21,0.0,,629,True
66052,2016,9,22,2.0,1.0,630,True
66052,2016,9,23,3.0,1.0,631,True
66052,2016,9,24,0.0,,632,True
66052,2016,9,25,4.8,1.0,633,True
66052,2016,9,26,4.8,1.0,634,True
66052,2016,9,27,0.0,,635,True
66052,2016,9,28,0.0,,636,True
66052,2016,9,29,1.0,1.0,637,True
66052,2016,9,30,2.0,1.0,638,True
66052,2016,10,1,0.0,,639,True
66052,2016,10,2,0.0,,640,True
66052,2016,10,3,0.0,,641,True
66052,2016,10,4,0.0,,642,True
66052,2016,10,5,0.0,1.0,643,True
66052,2016,10,6,0.0,,644,True
66052,2016,10,7,0.0,,645,True
66052,2016,10,8,0.0,,646,True
66052,2016,10,9,0.0,,647,True
66052,2016,10,10,0.0,,648,True
66052,2016,10,11,4.0,1.0,649,True
66052,2016,10,12,0.0,,650,True
66052,2016,10,13,3.6,1.0,651,True
66052,2016,10,14,0.6,1.0,652,True
66052,2016,10,15,0.0,,653,True
66052,2016,10,16,0.0,,654,True
66052,2016,10,17,0.0,,655,True
66052,2016,10,18,3.8,1.0,656,True
66052,2016,10,19,0.0,,657,True
66052,2016,10,20,0.0,,658,True
66052,2016,10,21,0.0,,659,True
66052,2016,10,22,19.8,1.0,660,True
66052,2016,10,23,0.6,1.0,661,True
66052,2016,10,24,1.2,1.0,662,True
